sasdate,Unemployment,CapacityUtili_Manufactur,HousingPermit_MW,HousingStarts,Nonrevolving_ConsumerCredit,AaaCorporateBond_MinusFEDFUNDS,AaaCorporateBond,ConsumerSentimentIndex
1/1/1978,6.4,82.1815,351,1718,0.128311301,2.47,9.17,83.7
2/1/1978,6.3,82.2159,406,1738,0.128838988,2.42,9.2,84.3
3/1/1978,6.3,83.4091,408,2032,0.129475299,2.43,9.22,78.8
4/1/1978,6.1,84.492,415,2197,0.129421999,2.43,9.32,81.6
5/1/1978,6,84.5244,387,2075,0.130596304,2.13,9.49,82.9
6/1/1978,5.9,84.9142,384,2070,0.13177809,2,9.6,80
7/1/1978,6.2,84.6005,399,2092,0.131793231,1.79,9.6,82.4
8/1/1978,5.9,84.7358,388,1996,0.132156715,1.44,9.48,78.4
9/1/1978,6,84.8577,391,1970,0.132460839,0.97,9.42,80.4
10/1/1978,5.8,85.2256,383,1981,0.13181708,0.63,9.59,79.3
11/1/1978,5.9,85.7478,363,2094,0.132556337,0.07,9.83,75
12/1/1978,6,86.1402,372,2044,0.132577859,-0.09,9.94,66.1
1/1/1979,5.9,85.1803,213,1630,0.133109281,0.06,10.13,72.1
2/1/1979,5.9,85.2462,260,1520,0.133571147,0.02,10.08,73.9
3/1/1979,5.8,85.4214,320,1847,0.133671112,0.17,10.26,68.4
4/1/1979,5.8,83.8034,314,1748,0.134696396,0.32,10.33,66
5/1/1979,5.6,84.656,341,1876,0.135297843,0.23,10.47,68.1
6/1/1979,5.7,84.509,330,1913,0.135291177,0.09,10.38,65.8
7/1/1979,5.7,84.3966,287,1760,0.134738458,-0.18,10.29,60.4
8/1/1979,6,83.1202,297,1778,0.134770494,-0.59,10.35,64.5
9/1/1979,5.9,83.1199,303,1832,0.134948833,-0.89,10.54,66.7
10/1/1979,6,83.2014,263,1681,0.135117668,-2.37,11.4,62.1
11/1/1979,5.9,82.8171,203,1524,0.134880276,-1.19,11.99,63.3
12/1/1979,6,82.9125,224,1498,0.134583088,-1.72,12.06,61
1/1/1980,6.3,83.0734,232,1341,0.133798949,-1.4,12.42,67
2/1/1980,6.3,82.7633,191,1350,0.133963924,-0.56,13.57,66.9
3/1/1980,6.3,81.9573,131,1047,0.133040922,-2.74,14.45,56.5
4/1/1980,6.9,80.0382,125,1051,0.131805643,-3.42,14.19,52.7
5/1/1980,7.5,77.5079,135,927,0.13001885,2.19,13.17,51.7
6/1/1980,7.6,76.1562,161,1196,0.128116538,3.24,12.71,58.7
7/1/1980,7.8,75.1566,217,1269,0.12622545,3.62,12.65,62.3
8/1/1980,7.7,75.5338,221,1436,0.124954985,3.54,13.15,67.3
9/1/1980,7.5,76.5352,239,1471,0.123532173,2.83,13.7,73.7
10/1/1980,7.5,77.6924,240,1523,0.122096034,1.42,14.23,75
11/1/1980,7.5,78.9089,221,1510,0.120932336,-1.21,14.64,76.7
12/1/1980,7.2,78.8967,211,1482,0.120125405,-3.76,15.14,64.5
1/1/1981,7.5,78.4041,199,1547,0.119589285,-4.05,15.03,71.4
2/1/1981,7.4,77.7375,179,1246,0.119263371,-0.56,15.37,66.9
3/1/1981,7.4,77.7565,196,1306,0.118807725,0.64,15.34,66.5
4/1/1981,7.2,77.9284,164,1360,0.118956806,-0.16,15.56,72.4
5/1/1981,7.5,78.0973,145,1140,0.118629311,-2.57,15.95,76.3
6/1/1981,7.5,77.4655,137,1045,0.117715954,-3.3,15.8,73.1
7/1/1981,7.2,77.4185,121,1041,0.115893004,-2.87,16.17,74.1
8/1/1981,7.4,77.2816,114,940,0.114814847,-1.48,16.34,77.2
9/1/1981,7.6,76.7235,110,911,0.115607738,1.05,16.92,73.1
10/1/1981,7.9,75.8551,100,873,0.115668394,2.03,17.11,70.3
11/1/1981,8.3,74.7495,100,837,0.115344194,3.08,16.39,62.5
12/1/1981,8.5,73.327,103,910,0.114821294,4.18,16.55,64.3
1/1/1982,8.6,71.4091,79,843,0.115724175,3.88,17.1,71
2/1/1982,8.9,73.2401,77,866,0.115237037,2.4,17.18,66.5
3/1/1982,9,72.4811,101,931,0.11515091,2.14,16.82,62
4/1/1982,9.3,71.8348,108,917,0.114709202,1.84,16.78,65.5
5/1/1982,9.4,71.589,145,1025,0.114483833,2.19,16.64,67.5
6/1/1982,9.6,71.3459,116,902,0.114375049,2.77,16.92,65.7
7/1/1982,9.8,71.1779,152,1166,0.113564825,4.21,16.8,65.4
8/1/1982,9.8,70.4734,114,1046,0.112986949,6.2,16.32,65.4
9/1/1982,10.1,70.2238,141,1144,0.113144327,5.32,15.63,69.3
10/1/1982,10.4,69.3371,141,1173,0.112709813,5.02,14.73,73.4
11/1/1982,10.8,68.827,144,1372,0.112517989,5.1,14.3,72.1
12/1/1982,10.8,68.5547,163,1303,0.112615902,5.19,14.14,71.9
1/1/1983,10.4,70.1669,181,1586,0.112796298,5.26,13.94,70.4
2/1/1983,10.4,70.0597,164,1699,0.112712808,5.44,13.95,74.6
3/1/1983,10.3,70.647,177,1606,0.11287644,4.84,13.61,80.8
4/1/1983,10.2,71.4444,176,1472,0.112959806,4.49,13.29,89.1
5/1/1983,10.1,72.299,194,1776,0.112424677,4.46,13.09,93.3
6/1/1983,10.1,72.8268,201,1733,0.113031894,4.39,13.37,92.2
7/1/1983,9.4,73.843,188,1785,0.113211012,4.02,13.39,92.8
8/1/1983,9.5,74.3782,207,1910,0.114048716,4.08,13.64,90.9
9/1/1983,9.2,75.7499,189,1710,0.113807749,4.1,13.55,89.9
10/1/1983,8.8,76.536,202,1715,0.113964253,3.98,13.46,89.3
11/1/1983,8.5,76.7587,192,1785,0.114356626,4.27,13.61,91.1
12/1/1983,8.3,76.8957,180,1688,0.114834219,4.28,13.75,94.2
1/1/1984,8,78.202,246,1897,0.115466697,4.09,13.65,100.1
2/1/1984,7.8,78.9109,292,2260,0.116653323,4,13.59,97.4
3/1/1984,7.8,79.1526,195,1663,0.116276912,4.08,13.99,101
4/1/1984,7.7,79.4306,231,1851,0.116426042,4.02,14.31,96.1
5/1/1984,7.4,79.4586,211,1774,0.118330231,4.42,14.74,98.1
6/1/1984,7.2,79.6438,221,1843,0.119132185,3.99,15.05,95.5
7/1/1984,7.5,79.8157,215,1732,0.120009416,3.92,15.15,96.6
8/1/1984,7.5,79.7535,190,1586,0.120337313,2.99,14.63,99.1
9/1/1984,7.3,79.3743,181,1698,0.119959765,3.05,14.35,100.9
10/1/1984,7.4,79.4565,188,1590,0.121338544,3.95,13.94,96.3
11/1/1984,7.2,79.4923,220,1689,0.121600266,4.05,13.48,95.7
12/1/1984,7.3,79.521,214,1612,0.121873695,5.02,13.4,92.9
1/1/1985,7.3,79.0248,189,1711,0.122641175,4.91,13.26,96
2/1/1985,7.2,78.5122,191,1632,0.123716931,4.73,13.23,93.7
3/1/1985,7.2,78.9153,235,1800,0.124657135,5.11,13.69,93.7
4/1/1985,7.3,78.3427,228,1821,0.126298933,5.24,13.51,94.6
5/1/1985,7.2,78.269,243,1680,0.127293116,5.18,13.15,91.8
6/1/1985,7.4,78.2037,243,1676,0.127688162,4.87,12.4,96.5
7/1/1985,7.4,77.5503,244,1684,0.128533809,4.55,12.43,94
8/1/1985,7.1,77.8304,256,1743,0.129200624,4.6,12.5,92.4
9/1/1985,7.1,77.7663,238,1676,0.130233119,4.56,12.48,92.1
10/1/1985,7.1,77.3974,242,1834,0.130600279,4.37,12.36,88.4
