sasdate,Unemployment,CapacityUtili_Manufactur,HousingPermit_MW,HousingStarts,Nonrevolving_ConsumerCredit,AaaCorporateBond_MinusFEDFUNDS,AaaCorporateBond,ConsumerSentimentIndex,unknown1,unknown2,unkown3
1/1/1959,6,80.1973,2.39,291078,0.333579154,1574,1169,1396,594,802,713
2/1/1959,5.9,81.4428,2.46,282958,0.358385876,1554,1164,1277,545,732,704.2
3/1/1959,5.6,82.4769,2.05,260346,0.400947119,1459,1093,1210,530,680,704.1
4/1/1959,5.2,83.9922,1.9,246413,0.444973397,1494,934,1039,408,631,705.2
5/1/1959,5.1,84.9159,2.06,246952,0.475711411,1479,1005,965,390,575,710
6/1/1959,5,84.7686,1.65,258258,0.500729076,1522,963,963,415,548,715
7/1/1959,5.1,82.9798,1.61,263248,0.488378685,1591,1047,889,394,495,725.3
8/1/1959,5.2,79.4676,1.59,287143,0.456521739,1607,1113,889,407,482,667
9/1/1959,5.5,79.0489,1.42,273947,0.425165563,1602,1275,895,449,446,652.5
10/1/1959,5.7,78.1537,1.3,312319,0.397186701,1750,1292,883,436,447,655.6
11/1/1959,5.8,78.5051,1.26,350763,0.40394704,1745,1205,982,505,477,686
12/1/1959,5.3,83.5682,1.29,271771,0.422940049,1657,1122,920,453,467,694.5
1/1/1960,5.2,85.5616,1.35,276008,0.545228216,1638,1045,915,450,465,686
2/1/1960,4.8,84.6108,1.37,270543,0.592069691,1431,1034,841,412,429,690.9
3/1/1960,5.4,83.2421,1.41,308942,0.505904455,1666,1120,959,519,440,689.2
4/1/1960,5.2,82.2593,1.28,299584,0.509668508,1735,1002,896,465,431,692.9
5/1/1960,5.1,81.4711,1.43,317341,0.510507145,1718,1074,797,408,389,685.8
6/1/1960,5.4,80.2236,1.94,321768,0.473181094,1738,1182,854,458,396,682
7/1/1960,5.5,79.7275,1.99,334039,0.447601668,1709,1184,921,521,400,663.1
8/1/1960,5.6,79.0505,2.1,361521,0.429802332,1746,1287,927,517,410,682.8
9/1/1960,5.5,77.9187,2.41,353888,0.419927909,1677,1213,982,516,466,678.3
10/1/1960,6.1,77.5287,2.64,375119,0.367826905,1766,1282,1189,623,566,677.2
11/1/1960,6.1,75.7724,2.64,383790,0.355658199,1718,1367,1223,673,550,666.3
12/1/1960,6.6,74.2557,3.12,372391,0.317738791,2102,1468,1142,588,554,658
1/1/1961,6.6,74.1095,3.65,380579,0.314279598,1884,1477,1328,688,640,652.4
2/1/1961,6.9,73.512,2.53,433704,0.298634106,2037,1407,1416,751,665,646.3
3/1/1961,6.9,73.8637,3,382956,0.303523594,1863,1476,1463,769,694,644.6
4/1/1961,7,75.3829,3.52,382747,0.301655426,1729,1427,1598,796,802,639.6
5/1/1961,7.1,76.356,3.03,358345,0.308015191,1748,1432,1686,827,859,639.7
6/1/1961,6.9,77.3241,3.3,331716,0.31975435,1841,1419,1651,723,928,642.4
7/1/1961,7,78.1087,3.92,347116,0.325284091,1789,1356,1830,839,991,642.5
8/1/1961,6.6,78.9783,3.11,317851,0.355403674,1701,1387,1649,749,900,644.5
